bin,beta,se
2015,0.011955845213983561,0.013900198459081302
2016,0.0026461583736385593,0.011858409044510583
2017,0.01244077615304825,0.010577286777359942
2018,0.007192737638084919,0.009356885869392593
2020,0.015951532962414756,0.008966902868732673
2021,0.027282781284206765,0.009670618523592692
2022,0.054698115227626694,0.010849001220287263
2023,0.07735918379604909,0.011953026047827279
2024,0.06126445611373405,0.013934590676275723
