bin,beta,se
2015,-0.4817440179589875,0.013770251831381367
2016,-0.3408374508575406,0.012238907027008972
2017,-0.23719616366062543,0.010453546355136125
2018,-0.10834613764999104,0.00969470166564968
2020,0.00965273567978256,0.009130893911802341
2021,0.18334403039851085,0.009503036426905311
2022,0.30629314374072814,0.010496808064414052
2023,0.4336452379739665,0.01116909239837359
2024,-0.02619643469352828,0.014180026945486528
