area,pre,shock,post,class
AD.06,-14.778325123152708,221.67487684729062,32.84072249589491,Relative persistent improvement
AE.AJ,43.57418643132929,57.915057915057915,110.31439602868174,Relative persistent improvement
AE.AZ,41.19742823211434,49.0396822146689,80.47012572177402,Relative persistent improvement
AE.DU,40.812751795410755,29.120686635137506,89.47860103929467,"Temporary decline, rebounded"
AE.RK,56.372549019607845,3.063725490196081,132.76143790849673,"Temporary decline, rebounded"
AE.SH,18.33460656990069,32.467532467532465,41.507512095747394,Relative persistent improvement
AF.HER,128.71287128712873,-306.9306930693069,19.801980198019802,Relative persistent decline
AF.KAB,23.138832997987926,10.060362173038227,-0.8383635144198524,Relative persistent decline
AF.KAN,21.390374331550802,-80.21390374331551,53.475935828877006,"Temporary decline, rebounded"
AF.NAN,75.47169811320755,23.58490566037736,204.40251572327043,"Temporary decline, rebounded"
AG.04,31.94888178913738,135.78274760383385,37.27369542066028,Relative persistent improvement
AG.06,93.5251798561151,238.3093525179856,458.63309352517985,Relative persistent improvement
AL.02,0.0,33.574380165289256,-5.1652892561983474,Improvement then reversal
AL.03,4.444444444444445,-16.666666666666664,33.333333333333336,"Temporary decline, rebounded"
AL.05,-43.47826086956522,0.0,14.492753623188406,Relative persistent improvement
AL.06,-31.872509960159363,-19.920318725099598,-6.6401062416998675,Relative persistent improvement
AL.10,-5.2493438320209975,0.0,17.497812773403325,Relative persistent improvement
AL.11,-7.216914006911975,-10.418784305753201,4.57410042691604,"Temporary decline, rebounded"
AL.12,3.7735849056603774,-28.30188679245283,-22.012578616352197,Relative persistent decline
AM.AG,-22.085889570552148,-9.202453987730062,-10.224948875255624,Relative persistent improvement
AM.ER,-10.079870157604748,50.2925725024559,-5.125357707256654,Relative persistent improvement
AO.LUA,-24.826579043446515,27.38225629791895,-24.339783375927954,Relative persistent improvement
AR.A,3.8417210910487896,-23.05032654629274,2.5611473940325262,Relative persistent decline
AR.B,-8.28846270191784,-6.201222094500574,-6.688581012496555,Relative persistent improvement
AR.C,-2.4152326919474403,-6.824203173923515,-20.49491083933239,Relative persistent decline
AR.D,-6.442861987114277,1.6954899966090204,23.171696620323274,Relative persistent improvement
AR.E,1.8581604211830296,2.322700526478786,7.742335088262621,Relative persistent improvement
AR.F,49.25053533190578,10.70663811563169,57.102069950035684,"Temporary decline, rebounded"
AR.G,8.849557522123893,-2.7654867256637186,60.84070796460176,"Temporary decline, rebounded"
AR.H,23.4375,29.296875,32.552083333333336,Relative persistent improvement
AR.J,-5.820721769499418,-13.09662398137369,15.036864571206829,"Temporary decline, rebounded"
AR.K,-7.105427357601002e-16,29.013539651837526,19.34235976789168,Relative persistent improvement
AR.L,16.420361247947454,-33.86699507389163,0.6841817186644773,Relative persistent decline
AR.M,9.691487643353252,-6.460991762235503,-3.4997038712108974,Relative persistent decline
AR.N,23.145961265942372,17.71374586679263,11.021886317115415,Relative persistent decline
AR.P,-29.644268774703555,-39.52569169960474,32.93807641633729,"Temporary decline, rebounded"
AR.Q,-1.3888888888888888,-19.09722222222222,17.939814814814813,"Temporary decline, rebounded"
AR.R,9.931719428926133,1.5518311607697086,23.794744465135526,"Temporary decline, rebounded"
AR.S,7.752766935785703,8.287440517564026,13.990625389866153,Relative persistent improvement
AR.T,-5.629272215520707,-5.361211633829246,0.22338381807621843,Relative persistent improvement
AR.U,9.635974304068524,8.02997858672377,6.542945515108257,Relative persistent decline
AR.V,106.91823899371067,70.75471698113206,52.410901467505234,Relative persistent decline
AR.W,-1.5100037750094373,6.60626651566629,-1.2583364791745317,Relative persistent improvement
AR.X,3.136762860727729,-11.532216399734295,2.7062267818043146,Relative persistent decline
AR.Y,25.84269662921348,-5.617977528089887,13.10861423220974,Relative persistent decline
AR.Z,-5.524861878453036,44.889502762430936,-18.416206261510126,Improvement then reversal
AS.E,-2.842170943040401e-15,10.683760683760696,178.06267806267806,Relative persistent improvement
AT.1,36.86635944700461,46.082949308755765,15.36098310291859,Improvement then reversal
AT.2,9.953872299101723,3.6416605972323373,14.97127134417739,"Temporary decline, rebounded"
AT.3,47.681331747919145,50.535077288941736,64.20927467300832,Relative persistent improvement
AT.4,6.643558636626229,29.426632004621606,12.87791257461968,Relative persistent improvement
AT.5,8.56401384083045,6.4878892733564015,-4.3252595155709335,Relative persistent decline
AT.6,-1.4208992606507238,-0.602075957902849,0.5217991635158025,Relative persistent improvement
AT.7,-2.6483604557967735,0.5227027215388371,4.065465611968731,Relative persistent improvement
AT.8,4.872766648619383,16.24255549539794,61.360765204836675,Relative persistent improvement
AT.9,-4.007192794803826,-7.053279387372306,1.123874188097785,"Temporary decline, rebounded"
AU.ACT,-23.170931758530184,-19.855916447944008,-11.050051035287256,Relative persistent improvement
AU.NSW,4.169893139228743,-5.468870992721078,-4.626761654018894,Relative persistent decline
AU.NT,19.779556092405258,3.0197795560924057,10.56922844632342,Relative persistent decline
