bin,beta,se
2015,-0.41659486511510246,0.012588681108391998
2016,-0.3196250404881986,0.010948337494791908
2017,-0.21087614254315235,0.009722610940628026
2018,-0.09094271679227099,0.00853994726569454
2020,-0.005063431620266734,0.008077195370228083
2021,0.1601737471955525,0.008635711937988523
2022,0.2543682178681554,0.009924888470087101
2023,0.36092013576797677,0.01076657257483203
2024,-0.11581274304845035,0.012511901184792475
